accession	nextstrain_clade
ERR4365468	19A
ERR4387385	20B
ERR4387389	20C
ERR4457975	20B
ERR4461838	20B
ERR4463314	19A
ERR4584258	20A
ERR4597253	20B
ERR4641823	20B
ERR4646750	20C
ERR4682127	20E (EU1)
ERR4695880	20B
ERR4789279	20E (EU1)
ERR4971117	20B
ERR4971160	19B
ERR4971167	20C
ERR4971168	20B
ERR4999017	20B
ERR5007441	20A
ERR5038156	20E (EU1)
ERR5310961	20B
ERR5314928	20I (Alpha, V1)
ERR5381577	20I (Alpha, V1)
ERR5694728	20I (Alpha, V1)
ERR5718721	20I (Alpha, V1)
ERR5921744	20I (Alpha, V1)
ERR6004163	20I (Alpha, V1)
ERR6067575	20I (Alpha, V1)
ERR6094230	20A
ERR6133058	20I (Alpha, V1)
ERR6134025	20I (Alpha, V1)
ERR6175167	21J (Delta)
ERR6374587	21J (Delta)
ERR6375054	21J (Delta)
ERR6593344	20I (Alpha, V1)
ERR6593371	20A
ERR6593383	20I (Alpha, V1)
ERR6593565	20I (Alpha, V1)
ERR6623038	21J (Delta)
ERR6669434	20B
ERR7178815	21J (Delta)
ERR7191148	21J (Delta)
ERR7193153	21J (Delta)
ERR7214097	21J (Delta)
ERR7214806	21J (Delta)
ERR7215789	21J (Delta)
ERR7261132	21J (Delta)
ERR7262106	21J (Delta)
ERR7268965	21J (Delta)
ERR7271955	21J (Delta)
ERR7272507	21J (Delta)
ERR7274182	21J (Delta)
ERR7283534	21J (Delta)
ERR7290440	21J (Delta)
ERR7293442	21J (Delta)
ERR7323296	21J (Delta)
ERR7324472	21J (Delta)
ERR7330527	21J (Delta)
ERR7332798	21J (Delta)
ERR7347075	21J (Delta)
ERR7350657	21J (Delta)
ERR7359642	21J (Delta)
ERR7361530	21J (Delta)
ERR7361581	21J (Delta)
ERR7373660	21J (Delta)
ERR7417086	21J (Delta)
ERR7417093	21J (Delta)
ERR7417112	21J (Delta)
ERR7418640	20A
ERR7431885	21J (Delta)
ERR7431914	21J (Delta)
ERR7432029	21I (Delta)
ERR7432116	21J (Delta)
ERR7432177	21J (Delta)
ERR7432192	21I (Delta)
ERR7432462	21J (Delta)
ERR7437685	21J (Delta)
ERR7437813	21J (Delta)
ERR7437862	21J (Delta)
ERR7437902	21J (Delta)
ERR7437944	21J (Delta)
ERR7463047	21J (Delta)
ERR7480780	21J (Delta)
ERR7491106	21J (Delta)
ERR7504930	21J (Delta)
ERR7511944	21J (Delta)
ERR7520491	21J (Delta)
ERR7545216	21J (Delta)
ERR7552499	21J (Delta)
ERR7609376	21J (Delta)
ERR7613779	21J (Delta)
ERR7632066	21J (Delta)
ERR7653244	21J (Delta)
ERR7671682	21J (Delta)
ERR7671758	21J (Delta)
ERR7671773	21J (Delta)
ERR7671805	21J (Delta)
ERR7682309	21J (Delta)
ERR7682422	21J (Delta)
ERR7682430	21I (Delta)
ERR7682453	21J (Delta)
ERR7682459	21J (Delta)
ERR7682508	21J (Delta)
ERR8071466	21K (Omicron)
ERR8085674	21K (Omicron)
SRR11494537	19A
SRR11494762	19A
SRR11494763	19A
SRR11578007	20C
SRR11578246	20C
SRR11578267	20C
SRR11578342	20A
SRR11578375	20A
SRR11622135	19A
SRR11915818	19A
SRR11915820	20B
SRR11915843	20A
SRR11915954	19A
SRR11915956	19A
SRR12162166	19A
SRR12162234	19A
SRR12162235	19A
SRR12513777	20C
SRR12529994	20C
SRR12529995	20F
SRR12529996	20F
SRR12530543	20F
SRR12530544	20F
SRR12531456	19B
SRR12531494	19B
SRR12531512	19B
SRR12531514	20C
SRR12531538	19B
SRR12531703	19B
SRR12531760	20F
SRR12537428	20F
SRR12638321	20C
SRR12704521	20A
SRR12751161	20F
SRR12754137	20F
SRR12980426	20C
SRR13013046	20G
SRR13063932	20C
SRR13083843	20F
SRR13084568	20B
SRR13084569	20B
SRR13084570	20B
SRR13129451	20B
SRR13130243	20F
SRR13130323	20F
SRR13179515	20F
SRR13195274	20C
SRR13243006	20C
SRR13302920	20C
SRR13449688	20B
SRR13527448	20G
SRR13574348	20A
SRR14168466	20A
SRR14219352	21C (Epsilon)
SRR14253502	20B
SRR14585985	20I (Alpha, V1)
SRR14599053	20I (Alpha, V1)
SRR15141968	20G
SRR15708252	21J (Delta)
SRR15736316	19B
SRR16174058	20A
SRR16175050	20A
SRR16176787	20G
SRR16177413	21J (Delta)
SRR16180081	20A
SRR16183604	21J (Delta)
SRR16183605	21J (Delta)
SRR16806477	21J (Delta)
SRR16851070	21J (Delta)
SRR16864405	21J (Delta)
SRR16948328	21J (Delta)
SRR16973308	21J (Delta)
SRR17077339	21J (Delta)
SRR17131838	21J (Delta)
SRR17178208	21J (Delta)
SRR17313275	21J (Delta)
SRR17353671	21J (Delta)
SRR17408260	21J (Delta)
SRR17438195	21I (Delta)
SRR17471070	21K (Omicron)
SRR17509061	21K (Omicron)
SRR17627232	21K (Omicron)
SRR17708023	21K (Omicron)
SRR17800882	21K (Omicron)
SRR17820434	21K (Omicron)
SRR17995135	21K (Omicron)
SRR18014751	21K (Omicron)
SRR18025284	21J (Delta)
SRR10902284	
SRR10903401	
SRR10903402	
SRR10948474	
SRR10948550	
SRR10971381	
SRR11085736	
SRR11085797	
SRR11092056	
SRR11092057	
SRR11092058	
SRR11092064	
SRR11140744	
SRR11140745	
SRR11140746	
SRR11140747	
SRR11140748	
SRR11140749	
SRR11140750	
SRR11140751	
SRR11177792	
SRX9605666	
