AccessionId	CDC	Pango	Collected	Country
ERR4165044		B.1.76	3/11/2020	United Kingdom
ERR4165111		B.55	3/6/2020	United Kingdom
ERR4165163		B.1	3/12/2020	United Kingdom
ERR4204162		B	3/1/2020	United Kingdom
ERR4204257		B.1.1	3/4/2020	United Kingdom
ERR4204261		B.40	2/9/2020	United Kingdom
ERR4204531		B.1.391	3/12/2020	United Kingdom
ERR4204551		B.40	3/12/2020	United Kingdom
ERR4204573		B.40	3/12/2020	United Kingdom
ERR4204585		B.39	3/5/2020	United Kingdom
ERR4204623		B.1	3/5/2020	United Kingdom
ERR4204888		B	3/6/2020	United Kingdom
ERR4204936		B.1	3/1/2020	United Kingdom
ERR4205082		B.61	3/1/2020	United Kingdom
ERR4205100		B.1.1	3/2/2020	United Kingdom
ERR4205154		B.55	3/5/2020	United Kingdom
ERR4205308		B.40	3/2/2020	United Kingdom
ERR4205531		B.1.1	3/9/2020	United Kingdom
ERR4205574		B.1.1	3/5/2020	United Kingdom
ERR4205591		B.1.1	3/1/2020	United Kingdom
ERR4205619		B.1.1	3/9/2020	United Kingdom
ERR4205668		B.1.1	3/6/2020	United Kingdom
ERR4205823		B.1.1.1	3/8/2020	United Kingdom
ERR4205826		B.1.91	3/5/2020	United Kingdom
ERR4206002		B.40	3/4/2020	United Kingdom
ERR4206026		B	3/4/2020	United Kingdom
ERR4206074		B.61	3/5/2020	United Kingdom
ERR4206078		B.1	3/8/2020	United Kingdom
ERR4206118		B.1	3/9/2020	United Kingdom
ERR4206136		B.40	3/4/2020	United Kingdom
ERR4206222		B.1.1	3/5/2020	United Kingdom
ERR4206230		B.55	3/5/2020	United Kingdom
ERR4206257		B.1.1	3/1/2020	United Kingdom
ERR4206261		B.1.1.257	3/5/2020	United Kingdom
ERR4206469		B	3/8/2020	United Kingdom
ERR4206871		B.1	3/4/2020	United Kingdom
ERR4206934		B.1	3/2/2020	United Kingdom
ERR4207121		B.1	3/5/2020	United Kingdom
ERR4207275		B	3/1/2020	United Kingdom
ERR4207545		B	3/3/2020	United Kingdom
ERR4207807		B.1.1	3/2/2020	United Kingdom
ERR4207888		B	3/1/2020	United Kingdom
ERR4208100		B.4	3/1/2020	United Kingdom
ERR4208197		B.4	3/1/2020	United Kingdom
ERR4208208		B.1.1	3/8/2020	United Kingdom
ERR4208214		B.1.1	3/5/2020	United Kingdom
ERR4208336		B.1	3/2/2020	United Kingdom
ERR4208476		B.1.1	3/2/2020	United Kingdom
ERR4208738		B.40	3/2/2020	United Kingdom
ERR4208837		B.1	3/5/2020	United Kingdom
ERR4208876		B.1	3/5/2020	United Kingdom
ERR4209023		B	3/8/2020	United Kingdom
ERR4209114		B.4	3/4/2020	United Kingdom
ERR4209136		B.1	3/2/2020	United Kingdom
ERR4209299		B.1	3/2/2020	United Kingdom
ERR4209318		B.29	3/4/2020	United Kingdom
ERR4209607		B.1	3/3/2020	United Kingdom
ERR4209929		B.1.1.257	3/2/2020	United Kingdom
ERR4238427		B.1	5/9/2020	United Kingdom
ERR4238531		B	5/10/2020	United Kingdom
ERR4238570		B.1.1	5/9/2020	United Kingdom
ERR4239157		B.55	3/2/2020	United Kingdom
ERR4239518		B.40	3/1/2020	United Kingdom
ERR4239851		B.1.1	5/3/2020	United Kingdom
ERR4243069		B.1.201	5/2/2020	United Kingdom
ERR4243315		B.1	5/3/2020	United Kingdom
ERR4243365		B.1.1	5/3/2020	United Kingdom
ERR4245160		B.1.1	5/2/2020	United Kingdom
ERR4246328		B.1.1	5/9/2020	United Kingdom
ERR4247158		B.1.1	5/2/2020	United Kingdom
ERR4247206		B.1.222	5/9/2020	United Kingdom
ERR4247221		B.1	5/10/2020	United Kingdom
ERR4247253		B.1.93	5/2/2020	United Kingdom
ERR4247268		B.1.1	5/2/2020	United Kingdom
ERR4247392		B.1	5/11/2020	United Kingdom
ERR4247485		B.1.1	5/3/2020	United Kingdom
ERR4247581		B.1.1	5/2/2020	United Kingdom
ERR4247610		B	5/9/2020	United Kingdom
ERR4247709		B.1	5/2/2020	United Kingdom
ERR4247753		B.1.1	5/2/2020	United Kingdom
ERR4247899		B.1.225	5/10/2020	United Kingdom
ERR4247945		B.1	5/10/2020	United Kingdom
ERR4247971		B.1.248	5/10/2020	United Kingdom
ERR4247976		B.1.93	5/2/2020	United Kingdom
ERR4248021		B.1.225	5/10/2020	United Kingdom
ERR4248059		B.1.93	5/2/2020	United Kingdom
ERR4248183		B.40	5/2/2020	United Kingdom
ERR4249207		B.1	5/3/2020	United Kingdom
ERR4306517		B.1.93	5/30/2020	United Kingdom
ERR4307967		B.1.1.29	5/30/2020	United Kingdom
ERR4308052		B.1.1	5/30/2020	United Kingdom
ERR4308727		B.1.1.289	6/1/2020	United Kingdom
ERR4309256		B.1	6/3/2020	United Kingdom
ERR4309326		B.1.1	5/30/2020	United Kingdom
ERR4309334		B.1.142	6/1/2020	United Kingdom
ERR4309456		B.1.1	5/30/2020	United Kingdom
ERR4309461		B.1	6/1/2020	United Kingdom
ERR4363476		B.1.1.289	6/13/2020	United Kingdom
ERR4363506		B.1.1	6/10/2020	United Kingdom
ERR4363615		B.1.1.289	6/10/2020	United Kingdom
ERR4363685		B.1.222	5/30/2020	United Kingdom
ERR4363726		B.1.120	6/10/2020	United Kingdom
ERR4363806		B.1.1.289	6/12/2020	United Kingdom
ERR4364447		B.1.1.289	6/3/2020	United Kingdom
ERR4364890		B.1.1	5/30/2020	United Kingdom
ERR4365207		B.1.93	5/30/2020	United Kingdom
ERR4365217		B.1.222	6/5/2020	United Kingdom
ERR4365555		B.1.1.289	6/13/2020	United Kingdom
ERR4365835		B.1.1	6/12/2020	United Kingdom
ERR4365874		B.1.1.237	6/5/2020	United Kingdom
ERR4365877		B.1.1	6/9/2020	United Kingdom
ERR4365927		B.1.1	6/10/2020	United Kingdom
ERR4366145		B.1.1.289	6/9/2020	United Kingdom
ERR4366282		B.1.93	6/10/2020	United Kingdom
ERR4366285		B.1.1.115	7/3/2020	United Kingdom
ERR4366388		B.1.1	5/30/2020	United Kingdom
ERR4366437		B.1.1.115	7/4/2020	United Kingdom
ERR4366513		B.1.142	5/30/2020	United Kingdom
ERR4366514		B.1.1	6/5/2020	United Kingdom
ERR4421386		B.1.1	6/13/2020	United Kingdom
ERR4421428		B.1.1	6/13/2020	United Kingdom
ERR4421448		B.1.142	6/2/2020	United Kingdom
ERR4421452		B.1.1.237	6/12/2020	United Kingdom
ERR4421464		B.1.1	6/12/2020	United Kingdom
ERR4421490		B.1.1	6/10/2020	United Kingdom
ERR4424781		B.1.1	6/9/2020	United Kingdom
ERR4439308		B.1.1.289	7/12/2020	United Kingdom
ERR4439335		B.1.1.289	6/13/2020	United Kingdom
